English,Italian
monica,monica
constantly,costantemente
granny,nonna
nicely,bene
nerves,nervi
arguing,discutere
abuse,abuso
relatives,parenti
survival,sopravvivenza
gloves,guanti
tracking,tracciamento
zoe,zoe
u,tu
bend,curva
review,revisione
connect,collegare
separated,separati
elder,anziano
beard,barba
admiral,ammiraglio
diana,diana
salary,stipendio
areas,aree
disturb,disturbare
pro,professionista
maintain,mantenere
solved,risolto
wealth,ricchezza
bitches,cagne
possession,possesso
sang,cantava
gimme,dammi
plates,piatti
shoulders,spalle
burnt,bruciato
recorded,registrato
upper,superiore
counts,conta
tale,racconto
profit,profitto
colleague,collega
warehouse,magazzino
hostage,ostaggio
shore,costa
porn,porno
miami,miami
fifteen,quindici
visitors,visitatori
bo,bo
net,netto
insult,insulto
owen,owen
cities,città
causing,causando
lemon,limone
heal,guarire
banging,sbattere
honeymoon,luna di miele
appeal,appello
marshall,maresciallo
critical,critico
creating,creazione
scotland,scozia
crane,gru
enormous,enorme
testimony,testimonianza
praise,lode
fights,combattimenti
indians,indiani
commission,commissione
growls,ringhi
nicole,nicole
sins,peccati
fraud,frode
branch,ramo
happily,felicemente
bout,incontro
covering,coprendo
occurred,avvenuto
beans,fagioli
raw,crudo
muscle,muscolo
pages,pagine
tense,teso
relationships,relazioni
management,gestione
assignment,incarico
blonde,bionda
catching,cattura
exposed,esposto
canada,canada
dont,non
han,lui
von,da
comedy,commedia
marco,marco
stroke,colpo
whistling,fischiare
buildings,edifici
shaking,tremante
p.m.,pomeriggio
facility,facilità
appropriate,appropriato
remarkable,notevole
transferred,trasferito
drawn,disegnato
tits,tette
clicking,cliccando
symbol,simbolo
motor,motore
employees,dipendenti
ambassador,ambasciatore
mothers,madri
pile,mucchio
feeding,alimentazione
soda,soda
checks,controlli
bears,orsi
cookies,biscotti
slut,sgualdrina
awfully,terribilmente
stepped,fatto un passo
toys,giocattoli
levels,livelli
differently,diversamente
magnificent,magnifico
steak,bistecca
tube,tubo
leaders,leader
superior,superiore
herr,signore
pan,padella
expression,espressione
currently,attualmente
throne,trono
deadly,mortale
bee,ape
tooth,dente
depressed,depresso
potatoes,patate
wicked,malvagio
resources,risorse
native,nativo
centuries,secoli
karl,carlo
poetry,poesia
multiple,multiplo
cable,cavo
shortly,tra poco
buzz,ronzio
socks,calzini
fingerprints,impronte digitali
goddess,dea
chin,mento
anxious,ansioso
september,settembre
colors,colori
basketball,pallacanestro
promises,promesse
explained,spiegato
appearance,aspetto
musical,musicale
sends,invia
slide,diapositiva
aii,aii
shawn,shawn
ultimate,definitivo
pork,maiale
communication,comunicazione
payment,pagamento
structure,struttura
paperwork,scartoffie
obsessed,ossessionato
lazy,pigro
russians,russi
actors,attori
squeeze,stretta
magical,magico
colleagues,colleghi
admire,ammirare
madness,follia
roads,strade
entry,iscrizione
injury,infortunio
burden,fardello
racing,corsa
manner,maniera
freezing,congelamento
bits,pezzi
norman,normanno
mount,montare
battery,batteria
dessert,dessert
pound,libbra
visited,visitato
motel,motel
rumbling,rimbombo
cinema,cinema
fond,appassionato
halfway,a metà strada
rifle,fucile
reception,reception
statue,statua
fridge,frigo
brick,mattone
abandon,abbandono
lap,giro
natalie,natalia
wars,guerre
recommend,raccomandare
brush,spazzola
nelson,nelson
pill,pillola
concept,concetto
w,io
delay,ritardo
quarters,quarti
korea,corea
janet,janet
rub,strofinare
mall,centro commerciale
soil,suolo
complaint,rimostranza
sail,vela
baker,panettiere
coughs,tosse
bucket,secchio
description,descrizione
badge,distintivo
measure,misura
hip,anca
function,funzione
indistinctly,indistintamente
harris,harris
foundation,fondazione
labor,lavoro
willie,willie
waiter,cameriere
homeless,senzatetto
proved,dimostrato
unfortunate,sfortunato
log,tronco d'albero
meetings,riunioni
giggles,risatine
combat,combattere
poem,poesia
polish,polacco
handed,consegnato
mia,mia
weed,erba
raymond,raimondo
tons,tonnellate
satellite,satellitare
jersey,maglia
eagle,aquila
privacy,riservatezza
chapter,capitolo
treating,trattamento
wisdom,saggezza
flip,capovolgere
entering,entrando
barn,fienile
farmer,contadino
clan,clan
budget,bilancio
pub,pub
temporary,temporaneo
effective,efficace
sonny,figliolo
wendy,wendy
juan,giovanni
lamb,agnello
plot,complotto
riley,riley
proposal,proposta
sticks,bastoni
searched,cercato
blessing,benedizione
rage,rabbia
bothered,infastidito
sydney,sydney
basis,base
manners,maniere
recover,recuperare
twist,intrecciare
neil,neil
leak,perdere
item,articolo
catholic,cattolico
sighing,sospirando
retired,pensionato
kings,re
inner,interno
cents,centesimi
affect,simulare
forbidden,vietato
patch,toppa
drops,gocce
necessarily,necessariamente
provided,fornito
meters,metri
booked,prenotato
returns,ritorni
gloria,gloria
fires,incendi
humor,umore
torn,strappato
e-mail,e-mail
rocky,roccioso
introduced,introdotto
creative,creativo
betray,tradire
soviet,sovietico
various,vario
added,aggiunto
discovery,scoperta
cowboy,cowboy
suspected,sospettato
suggested,suggerito
delighted,incantato
sticking,attaccare
dive,tuffo
shane,shane
radar,radar
prosecutor,pubblico ministero
amber,ambra
vast,vasto
quinn,quinn
owned,posseduto
cookie,biscotto
finest,più bello
felix,felice
pump,pompa
valentine,san valentino
counter,contatore
sorts,ordina
coin,coniare
warren,conigliera
slaves,schiavi
marine,marino
illness,malattia
sack,sacco
bid,offerta
require,richiedere
moscow,mosca
largest,più grande
washing,lavaggio
achieve,raggiungere
causes,cause
k,k
mo,mio
dope,droga
nest,nido
palm,palma
logan,logan
constant,costante
b.,b.
boo,buuuu
medication,farmaco
gravity,gravità
booze,liquore
noah,noè
evan,evan
abroad,all'estero
christine,cristina
rising,in aumento
analysis,analisi
cuts,tagli
eats,mangia
employee,dipendente
vodka,vodka
damaged,danneggiato
solar,solare
height,altezza
pops,scoppi
yards,metri
terrified,terrorizzato
suitcase,valigia
chemical,chimico
preparing,preparazione
advanced,avanzato
fund,finanziare
wears,indossa
chirping,cinguettio
web,rete
phase,fase
prom,ballo studentesco
suggesting,suggerendo
fleet,flotta
lame,zoppo
irish,irlandese
editor,editore
october,ottobre
assumed,assunto
whip,frusta
mel,mel
region,regione
amongst,tra
temper,temperare
discussion,discussione
engines,motori
operate,operare
sunshine,luce del sole
acted,ha agito
undercover,sotto copertura
horror,orrore
tested,testato
smash,distruggere
contrary,contrario
roses,rose
poker,poker
wrapped,avvolto
korean,coreano
graham,graham
mi,mi
fu,fu
ivan,ivan
focused,concentrato
liam,liam
tragic,tragico
carla,carla
demons,demoni
rounds,giri
entertainment,divertimento
gathered,riunito
uhh,uhh
yells,urla
lincoln,lincoln
crossing,attraversamento
blanket,coperta
nut,noce
travis,travis
pockets,tasche
limited,limitato
paintings,dipinti
sober,sobrio
caesar,cesare
sis,sorella
intended,destinato
niece,nipote
computers,computer
tennis,tennis
needle,ago
chicks,pulcini
traditional,tradizionale
delicate,delicato
independent,indipendente
leslie,leslie
lauren,lauren
grandson,nipote
repair,riparazione
a.,un.
brandon,brandon
executive,esecutivo
colin,colin
recognized,riconosciuto
holmes,holmes
regarding,per quanto riguarda
weakness,debolezza
aliens,alieni
gunshots,colpi di pistola
european,europeo
method,metodo
tool,attrezzo
demands,richieste
permit,permesso
towel,asciugamano
daisy,margherita
nowadays,al giorno d'oggi
spider,ragno
northern,settentrionale
rangers,ranger
zoo,zoo
praying,pregando
antonio,antonio
passengers,passeggeri
con,contro
australia,australia
technique,tecnica
cellphone,cellulare
gently,delicatamente
operations,operazioni
planes,aerei
bunny,coniglio
gunfire,spari
shining,splendente
backwards,indietro
skill,abilità
uh-,uh-
baron,barone
kidnapping,rapimento
iike,mi piace
marshal,maresciallo
petty,trascurabile
sealed,sigillato
massage,massaggio
raising,sollevando
menu,menu
diary,diario
fucker,coglione
wagon,carro
audition,audizione
mitch,mitch
mexican,messicano
casino,casinò
bacon,bacon
diego,diego
dutch,olandese
promotion,promozione
click,clic
forgiveness,perdono
burst,scoppiare
permanent,permanente
interfere,interferire
chanting,cantando
dammit,dannazione
spencer,spencer
recovered,recuperato
registered,registrato
sunny,soleggiato
packing,imballaggio
scenes,scene
superman,superuomo
questioning,interrogativo
unfair,sleale
admitted,ammesso
ancestors,antenati
polite,educato
completed,completato
swallow,rondine
conduct,condotta
prayers,preghiere
sheet,foglio
fried,fritto
avenue,viale
poisoned,avvelenato
reverse,inversione
newspapers,giornali
ford,guado
complaining,lamentarsi
senses,sensi
investment,investimento
absurd,assurdo
potato,patata
understands,capisce
grows,cresce
inspired,ispirato
ruby,rubino
celebrating,festeggiare
tag,etichetta
ram,ariete
requires,richiede
bonnie,bonnie
bugs,insetti
leonard,leonardo
elliot,elliot
hooked,agganciato
jill,jill
ranch,ranch
safer,più sicuro
worn,logoro
crashing,schiantarsi
lands,terre
heather,erica
ash,cenere
leather,pelle
grounds,motivi
assuming,supponendo
nails,unghia
dana,dana
conspiracy,cospirazione
thanksgiving,ringraziamento
pierre,pierre
guardian,custode
rumors,voci
yen,yen
megan,megan
ashes,ceneri
terror,terrore
misunderstanding,malinteso
tire,pneumatico
boats,barche
parade,parata
halt,fermarsi
immunity,immunità
adults,adulti
steam,vapore
kang,kang
closely,da vicino
pearl,perla
soccer,calcio
adrian,adriano
priority,priorità
shouts,grida
donald,donald
happier,più felice
khan,khan
struggling,lottando
root,radice
larger,più grande
november,novembre
boot,stivale
conflict,conflitto
laughed,riso
debbie,debbie
cherry,ciliegia
honking,clacson
concerns,preoccupazioni
celebration,celebrazione
sore,irritato
unconscious,inconscio
cattle,bestiame
breasts,seni
fairly,abbastanza
fee,tassa
recognise,riconoscere
wade,guadare
radiation,radiazione
holidays,vacanze
raining,pioggia
forgetting,dimenticare
lungs,polmoni
register,registro
shadows,ombre
specifically,specificamente
sarge,sergente
ideal,ideale
turtle,tartaruga
spoil,rovinare
deserved,meritato
ronnie,ronnie
gina,gina
candidate,candidato
lance,lancia
types,tipi
bloke,tizio
explode,esplodere
immediate,immediato
belonged,apparteneva
identified,identificato
di,di
hunger,fame
closest,più vicino
combination,combinazione
nanny,bambinaia
seth,seth
gabriel,gabriele
develop,sviluppare
detectives,detective
severe,acuto
en,esso
organized,organizzato
franklin,franklin
gut,intestino
splendid,splendido
dismissed,licenziato
pm,pomeriggio
yang,yang
halloween,halloween
ellie,ellie
vulnerable,vulnerabile
continued,continua
vital,vitale
comrades,compagni
bureau,ufficio
drawer,cassetto
harper,arpista
retreat,ritirarsi
carson,carson
benny,benny
pillow,cuscino
troy,troia
ace,asso
cart,carrello
nap,pisolino
chan,canale
ham,prosciutto
announce,annunciare
borrowed,preso in prestito
parked,parcheggiato
galaxy,galassia
voted,votato
muffled,ovattato
sebastian,sebastiano
mmm-hmm,mmm-hmm
jewelry,gioielli
kisses,baci
luggage,bagaglio
groom,sposo
oops,ops
lighter,accendino
masters,maestri
alliance,alleanza
buddies,amici
clothing,vestiario
denied,negato
drown,annegare
alike,nello stesso modo
excellency,eccellenza
relative,relativo
photographs,fotografie
burger,hamburger
dough,impasto
alicia,alicia
wreck,relitto
approve,approvare
produced,prodotto
christina,cristina
physically,fisicamente
stations,stazioni
eli,eli
samantha,samantha
spiritual,spirituale
sire,sire
roaring,ruggente
stab,pugnalare
inch,pollice
servants,servi
limits,limiti
unexpected,inaspettato
arrival,arrivo
whimpering,piagnucolare
basket,cestino
sheets,fogli
scandal,scandalo
stink,puzza
homer,omero
tara,tara
christopher,cristoforo
toes,dita dei piedi
t-,t-
shield,scudo
shooter,tiratore
instant,istantaneo
objects,oggetti
rehearsal,prova
disturbing,inquietante
directed,diretto
scan,scansione
electronic,elettronico
republic,repubblica
overnight,durante la notte
counsel,avvocato
sirens,sirene
dorothy,dorotea
bait,esca
dignity,dignità
explains,spiega
lean,pendere
heroin,eroina
tracy,tracy
rex,rex
barney,barney
gossip,pettegolezzo
humble,umile
economy,economia
worlds,mondi
impress,impressionare
clara,chiara
tissue,tessuto
threaten,minacciare
et,e
bump,colpo
supreme,supremo
bingo,tombola
mitchell,mitchell
excitement,eccitazione
mankind,umanità
document,documento
broad,ampio
vietnam,vietnam
vessel,nave
lit,illuminato
dale,valle
killers,assassini
connor,connor
mario,mario
foul,ripugnante
stare,fissare
deaths,deceduti
hut,capanna
elements,elementi
coma,coma
laying,posa
coffin,bara
paula,paula
cocaine,cocaina
puppy,cucciolo
louder,più forte
handled,gestito
announcement,annuncio
oath,giuramento
mob,assalire
cotton,cotone
deposit,depositare
taxes,tasse
injuries,ferite
jen,jen
autopsy,autopsia
advise,consigliare
gig,concerto
lecture,lezione
posted,pubblicato
skinny,magro
lo,lo
include,includere
revealed,rivelato
infected,infetto
relieved,sollevato
assistance,assistenza
solo,solista
determine,determinare
terrorists,terroristi
elsewhere,altrove
lamp,lampada
practical,pratico
marked,segnato
adorable,adorabile
rubber,gomma
purple,viola
operating,operativo
suite,suite
apologies,scuse
personnel,personale
beam,trave
poet,poeta
samples,campioni
arrow,freccia
counselor,consigliere
carpet,tappeto
allen,allen
audrey,audrey
spotted,macchiato
floating,galleggiante
corrected,corretto
located,situato
journalist,giornalista
insisted,ha insistito
operator,operatore
rely,fare affidamento
singh,singh
fooled,ingannato
arrives,arriva
i.d.,id.
leon,leone
walt,walt
eastern,orientale
ay,sì
shave,farsi la barba
remaining,rimanente
toss,lanciare
anderson,anderson
lip,labbro
acid,acido
nora,nora
si,sì
december,dicembre
anonymous,anonimo
inn,locanda
planted,piantato
oldest,il più vecchio
breast,seno
sixth,sesto
error,errore
reporting,segnalazione
egypt,egitto
islands,isole
brother-in-law,cognato
jules,giulio
roommate,compagno di stanza
sings,canta
scum,feccia
visitor,visitatore
giggling,ridacchiando
described,descritto
geez,accidenti
inches,pollici
commitment,impegno
hercules,ercole
react,reagire
cows,mucche
protest,protesta
misery,miseria
theft,furto
embrace,abbraccio
darn,accidenti
harsh,duro
andrea,andrea
communicate,comunicare
fathers,padri
faithful,fedele
hector,ettore
uh-uh,uh-uh
flame,fiamma
medal,medaglia
silk,seta
photographer,fotografo
trevor,trevor
cemetery,cimitero
rear,posteriore
freddy,freddy
banana,banana
allison,allison
emotion,emozione
chap,ragazzo
dated,datato
excuses,scuse
shitty,schifoso
bin,bidone
jew,ebreo
gum,gomma
crushed,schiacciato
efforts,sforzi
content,contenuto
corporal,caporale
realised,realizzato
del,del
rap,rap
hopeless,senza speranza
debate,discussione
era,era
luckily,per fortuna
ton,tonnellata
liquid,liquido
swell,rigonfiamento
peggy,peggy
feast,festa
murphy,murphy
attracted,attratto
application,applicazione
profession,professione
bench,panca
vanessa,vanessa
ahem,ehm
symptoms,sintomi
scout,esploratore
crashed,si è schiantato
keen,appassionato
aircraft,aereo
formed,formato
hon,tesoro
aggressive,aggressivo
pale,pallido
significant,significativo
duncan,duncan
clubs,club
visual,visivo
embassy,ambasciata
defence,difesa
cabinet,mobiletto
display,display
fame,fama
gibbs,gibbs
drowned,annegato
wolves,lupi
filming,riprese
dunno,non lo so
cursed,maledetto
twin,gemello
sorrow,tristezza
vault,volta
defeated,sconfitto
watson,watson
quote,citazione
penalty,pena
bargain,affare
pepper,pepe
speaker,altoparlante
compare,confrontare
satan,satana
helmet,casco
scar,cicatrice
copies,copie
fuss,chiasso
envelope,busta
perry,perry
stinks,puzza
african,africano
arrangements,disposizioni
wished,desiderato
honored,onorato
believing,credendo
discussed,discusso
assigned,assegnato
rosa,rosa
oven,forno
jenna,jenna
attacking,attaccare
tin,stagno
sonic,sonico
collar,collare
mere,semplice
romeo,romeo
belief,credenza
storage,magazzinaggio
rusty,arrugginito
psycho,psicopatico
climbing,arrampicata
melissa,melissa
fears,paure
sum,somma
dedicated,dedicato
ladder,scala
alternative,alternativa
raid,incursione
dining,cenare
ms,sm
corporate,aziendale
folk,gente
jon,jon
replaced,sostituito
bailey,bailey
un,un
heels,tacchi
duties,doveri
smarter,più intelligente
existed,esisteva
surprising,sorprendente
chess,scacchi
requested,richiesto
cruise,crociera
primary,primario
rhythm,ritmo
drum,tamburo
models,modelli
motorcycle,motociclo
adopted,adottato
barrel,barile
cargo,carico
planets,pianeti
shove,spingere
wha,cosa
surprises,sorprese
rosie,rosie
dings,ammaccature
trailer,rimorchio
cannon,cannone
tables,tavoli
arse,culo
ally,alleato
lawrence,lorenzo
wee,pipì
tapes,nastri
dull,noioso
sandra,sandra
teenage,adolescente
kent,kent
cooperate,cooperare
risks,rischi
dug,scavato
worthless,senza valore
arriving,arrivo
kindness,gentilezza
ties,cravatte
items,elementi
and-,e-
grip,presa
relations,relazioni
rumor,voce
skirt,gonna
frog,rana
paige,paige
lloyd,lloyd
claimed,reclamato
perfume,profumo
instrumental,strumentale
flames,fiamme
association,associazione
loses,perde
january,gennaio
spike,arpione
israel,israele
eleven,undici
gallery,galleria
ginger,zenzero
activities,attività
iraq,iraq
boarding,imbarco
fist,pugno
stuffed,ripieni
improve,migliorare
creation,creazione
connie,connie
infection,infezione
strikes,scioperi
wiped,cancellato
tension,tensione
whistles,fischietti
kindly,gentilmente
certificate,certificato
curtis,curtis
bold,grassetto
threats,minacce
claudia,claudia
sid,lato
twisted,contorto
suspended,sospeso
affected,ricercato
envy,invidia
whale,balena
dial,comporre
cameron,cameron
martial,marziale
controlled,controllato
lung,polmone
nigga,negro
coal,carbone
upside,lato positivo
imperial,imperiale
pam,pam
paranoid,paranoico
signing,firma
congress,congresso
villa,villa
candles,candele
filling,riempimento
becky,becky
comic,fumetto
faint,fiacco
recovery,recupero
volunteer,volontario
tech,tecnologia
bleed,sanguinare
positions,posizioni
cindy,cindy
narrow,stretto
forbid,proibire
stuart,stuart
perspective,prospettiva
faced,affrontato
neat,pulito
pierce,forare
observe,osservare
cycle,ciclo
psychic,psichico
handling,gestione
goose,oca
accidentally,accidentalmente
conclusion,conclusione
designer,designer
sits,si siede
importance,importanza
spots,macchie
francs,franchi
sweep,spazzare
destroying,distruggendo
communist,comunista
blackmail,ricatto
pacific,pacifico
risky,rischioso
glorious,glorioso
filed,depositato
hatred,odio
cam,camma
deals,offerte
pos,posizione
fooling,ingannare
persons,persone
scotch,scotch
executed,eseguito
brakes,freni
blank,vuoto
tender,tenero
kurt,kurt
turner,tornitore
tub,vasca
sucker,ventosa
slight,lieve
addition,aggiunta
campus,campus
